-11.121237993707867 + 0.0im	3.3302974140442294e-6 + 0.0im
-11.105530030439919 + 0.0im	3.3388875436915047e-6 + 0.0im
-11.08982206717197 + 0.0im	3.3475110429801443e-6 + 0.0im
-11.074114103904021 + 0.0im	3.3561680854446244e-6 + 0.0im
-11.058406140636071 + 0.0im	3.3648588457519995e-6 + 0.0im
-11.042698177368123 + 0.0im	3.3735834997108264e-6 + 0.0im
-11.026990214100174 + 0.0im	3.382342224280121e-6 + 0.0im
-11.011282250832226 + 0.0im	3.391135197578452e-6 + 0.0im
-10.995574287564276 + 0.0im	3.399962598893131e-6 + 0.0im
-10.979866324296326 + 0.0im	3.4088246086893567e-6 + 0.0im
-10.964158361028378 + 0.0im	3.4177214086196402e-6 + 0.0im
-10.948450397760428 + 0.0im	3.426653181533138e-6 + 0.0im
-10.93274243449248 + 0.0im	3.435620111485215e-6 + 0.0im
-10.91703447122453 + 0.0im	3.44462238374698e-6 + 0.0im
-10.901326507956583 + 0.0im	3.453660184814999e-6 + 0.0im
-10.885618544688633 + 0.0im	3.4627337024210253e-6 + 0.0im
-10.869910581420685 + 0.0im	3.471843125541892e-6 + 0.0im
-10.854202618152735 + 0.0im	3.480988644409438e-6 + 0.0im
-10.838494654884787 + 0.0im	3.490170450520569e-6 + 0.0im
-10.822786691616837 + 0.0im	3.499388736647389e-6 + 0.0im
-10.807078728348888 + 0.0im	3.5086436968474042e-6 + 0.0im
-10.79137076508094 + 0.0im	3.517935526473893e-6 + 0.0im
-10.77566280181299 + 0.0im	3.5272644221863223e-6 + 0.0im
-10.759954838545042 + 0.0im	3.5366305819608403e-6 + 0.0im
-10.744246875277092 + 0.0im	3.5460342051009438e-6 + 0.0im
-10.728538912009144 + 0.0im	3.555475492248164e-6 + 0.0im
-10.712830948741194 + 0.0im	3.5649546453929194e-6 + 0.0im
-10.697122985473246 + 0.0im	3.5744718678854158e-6 + 0.0im
-10.681415022205297 + 0.0im	3.5840273644467286e-6 + 0.0im
-10.665707058937347 + 0.0im	3.593621341179856e-6 + 0.0im
