-11.136945956975817 + 0.0im	-8.656012383680199e-5 + 0.0im
-11.121237993707867 + 0.0im	-8.69389383741146e-5 + 0.0im
-11.105530030439919 + 0.0im	-8.731998430481495e-5 + 0.0im
-11.08982206717197 + 0.0im	-8.770327821621973e-5 + 0.0im
-11.074114103904021 + 0.0im	-8.808883684503934e-5 + 0.0im
-11.058406140636071 + 0.0im	-8.84766770789469e-5 + 0.0im
-11.042698177368123 + 0.0im	-8.886681595821777e-5 + 0.0im
-11.026990214100174 + 0.0im	-8.925927067731632e-5 + 0.0im
-11.011282250832226 + 0.0im	-8.965405858656422e-5 + 0.0im
-10.995574287564276 + 0.0im	-9.005119719379776e-5 + 0.0im
-10.979866324296326 + 0.0im	-9.04507041660423e-5 + 0.0im
-10.964158361028378 + 0.0im	-9.085259733123586e-5 + 0.0im
-10.948450397760428 + 0.0im	-9.12568946799449e-5 + 0.0im
-10.93274243449248 + 0.0im	-9.166361436711424e-5 + 0.0im
-10.91703447122453 + 0.0im	-9.20727747138377e-5 + 0.0im
-10.901326507956583 + 0.0im	-9.248439420914687e-5 + 0.0im
-10.885618544688633 + 0.0im	-9.289849151182777e-5 + 0.0im
-10.869910581420685 + 0.0im	-9.33150854522545e-5 + 0.0im
-10.854202618152735 + 0.0im	-9.373419503425851e-5 + 0.0im
-10.838494654884787 + 0.0im	-9.415583943699537e-5 + 0.0im
-10.822786691616837 + 0.0im	-9.458003801686477e-5 + 0.0im
-10.807078728348888 + 0.0im	-9.500681030943166e-5 + 0.0im
-10.79137076508094 + 0.0im	-9.543617603139504e-5 + 0.0im
-10.77566280181299 + 0.0im	-9.5868155082544e-5 + 0.0im
-10.759954838545042 + 0.0im	-9.630276754777785e-5 + 0.0im
-10.744246875277092 + 0.0im	-9.674003369914464e-5 + 0.0im
-10.728538912009144 + 0.0im	-9.717997399787053e-5 + 0.0im
-10.712830948741194 + 0.0im	-9.762260909645602e-5 + 0.0im
-10.697122985473246 + 0.0im	-9.806795984079427e-5 + 0.0im
-10.681415022205297 + 0.0im	-9.851604727228182e-5 + 0.0im
-10.665707058937347 + 0.0im	-9.896689262999402e-5 + 0.0im
-10.649999095669399 + 0.0im	-9.942051735288653e-5 + 0.0im
-10.634291132401449 + 0.0im	-9.987694308197374e-5 + 0.0im
-10.618583169133501 + 0.0im	-0.00010033619166262723 + 0.0im
-10.602875205865551 + 0.0im	-0.00010079828514680349 + 0.0im
-10.587167242597603 + 0.0im	-0.00010126324579537125 + 0.0im
-10.571459279329654 + 0.0im	-0.00010173109608044463 + 0.0im
-10.555751316061706 + 0.0im	-0.00010220185868773995 + 0.0im
-10.540043352793756 + 0.0im	-0.00010267555651897666 + 0.0im
-10.524335389525806 + 0.0im	-0.0001031522126942906 + 0.0im
-10.508627426257858 + 0.0im	-0.00010363185055470972 + 0.0im
-10.492919462989908 + 0.0im	-0.00010411449366461868 + 0.0im
-10.47721149972196 + 0.0im	-0.00010460016581429935 + 0.0im
-10.46150353645401 + 0.0im	-0.0001050888910224788 + 0.0im
-10.445795573186063 + 0.0im	-0.00010558069353891682 + 0.0im
-10.430087609918113 + 0.0im	-0.00010607559784701742 + 0.0im
-10.414379646650165 + 0.0im	-0.00010657362866649432 + 0.0im
-10.398671683382215 + 0.0im	-0.00010707481095606571 + 0.0im
-10.382963720114267 + 0.0im	-0.00010757916991616746 + 0.0im
-10.367255756846317 + 0.0im	-0.00010808673099172074 + 0.0im
-10.351547793578368 + 0.0im	-0.00010859751987492842 + 0.0im
-10.33583983031042 + 0.0im	-0.00010911156250811682 + 0.0im
-10.32013186704247 + 0.0im	-0.00010962888508658549 + 0.0im
-10.304423903774522 + 0.0im	-0.00011014951406156001 + 0.0im
-10.288715940506572 + 0.0im	-0.00011067347614309591 + 0.0im
-10.273007977238624 + 0.0im	-0.00011120079830309376 + 0.0im
-10.257300013970674 + 0.0im	-0.00011173150777832199 + 0.0im
-10.241592050702726 + 0.0im	-0.00011226563207348749 + 0.0im
-10.225884087434777 + 0.0im	-0.00011280319896433512 + 0.0im
-10.210176124166829 + 0.0im	-0.00011334423650081954 + 0.0im
-10.194468160898879 + 0.0im	-0.00011388877301027641 + 0.0im
-10.178760197630929 + 0.0im	-0.00011443683710067178 + 0.0im
-10.163052234362981 + 0.0im	-0.00011498845766389211 + 0.0im
-10.147344271095031 + 0.0im	-0.00011554366387905235 + 0.0im
-10.131636307827083 + 0.0im	-0.00011610248521587385 + 0.0im
-10.115928344559133 + 0.0im	-0.0001166649514380942 + 0.0im
-10.100220381291185 + 0.0im	-0.00011723109260694283 + 0.0im
-10.084512418023236 + 0.0im	-0.00011780093908464372 + 0.0im
-10.068804454755288 + 0.0im	-0.00011837452153796166 + 0.0im
-10.053096491487338 + 0.0im	-0.00011895187094182641 + 0.0im
-10.037388528219388 + 0.0im	-0.00011953301858298514 + 0.0im
-10.02168056495144 + 0.0im	-0.00012011799606369083 + 0.0im
-10.00597260168349 + 0.0im	-0.00012070683530547643 + 0.0im
-9.990264638415542 + 0.0im	-0.00012129956855296125 + 0.0im
-9.974556675147593 + 0.0im	-0.00012189622837770291 + 0.0im
-9.958848711879645 + 0.0im	-0.0001224968476821164 + 0.0im
-9.943140748611695 + 0.0im	-0.00012310145970344913 + 0.0im
-9.927432785343747 + 0.0im	-0.0001237100980177869 + 0.0im
-9.911724822075797 + 0.0im	-0.0001243227965441578 + 0.0im
-9.896016858807847 + 0.0im	-0.000124939589548635 + 0.0im
-9.8803088955399 + 0.0im	-0.00012556051164857752 + 0.0im
-9.86460093227195 + 0.0im	-0.000126185597816823 + 0.0im
-9.848892969004002 + 0.0im	-0.00012681488338605603 + 0.0im
-9.833185005736052 + 0.0im	-0.0001274484040531474 + 0.0im
-9.817477042468104 + 0.0im	-0.00012808619588359994 + 0.0im
-9.801769079200154 + 0.0im	-0.00012872829531604082 + 0.0im
-9.786061115932206 + 0.0im	-0.00012937473916677775 + 0.0im
-9.770353152664256 + 0.0im	-0.00013002556463443532 + 0.0im
-9.754645189396308 + 0.0im	-0.00013068080930463778 + 0.0im
-9.738937226128359 + 0.0im	-0.00013134051115476045 + 0.0im
-9.723229262860409 + 0.0im	-0.00013200470855876775 + 0.0im
-9.707521299592461 + 0.0im	-0.00013267344029208508 + 0.0im
-9.691813336324511 + 0.0im	-0.00013334674553658844 + 0.0im
-9.676105373056563 + 0.0im	-0.00013402466388560773 + 0.0im
-9.660397409788613 + 0.0im	-0.00013470723534906982 + 0.0im
-9.644689446520665 + 0.0im	-0.00013539450035863584 + 0.0im
-9.628981483252716 + 0.0im	-0.00013608649977298843 + 0.0im
-9.613273519984768 + 0.0im	-0.00013678327488314518 + 0.0im
-9.597565556716818 + 0.0im	-0.00013748486741787527 + 0.0im
-9.58185759344887 + 0.0im	-0.00013819131954916395 + 0.0im
-9.56614963018092 + 0.0im	-0.00013890267389780913 + 0.0im
-9.55044166691297 + 0.0im	-0.00013961897353903624 + 0.0im
-9.534733703645022 + 0.0im	-0.00014034026200824315 + 0.0im
-9.519025740377073 + 0.0im	-0.00014106658330680853 + 0.0im
-9.503317777109125 + 0.0im	-0.00014179798190798215 + 0.0im
-9.487609813841175 + 0.0im	-0.0001425345027628731 + 0.0im
-9.471901850573227 + 0.0im	-0.00014327619130652535 + 0.0im
-9.456193887305277 + 0.0im	-0.0001440230934640634 + 0.0im
-9.44048592403733 + 0.0im	-0.0001447752556569529 + 0.0im
-9.42477796076938 + 0.0im	-0.0001455327248093379 + 0.0im
-9.40906999750143 + 0.0im	-0.00014629554835449065 + 0.0im
-9.393362034233482 + 0.0im	-0.00014706377424132243 + 0.0im
-9.377654070965532 + 0.0im	-0.00014783745094103706 + 0.0im
-9.361946107697584 + 0.0im	-0.00014861662745383104 + 0.0im
-9.346238144429634 + 0.0im	-0.0001494013533157672 + 0.0im
-9.330530181161686 + 0.0im	-0.00015019167860563735 + 0.0im
-9.314822217893736 + 0.0im	-0.00015098765395206012 + 0.0im
-9.299114254625788 + 0.0im	-0.0001517893305405977 + 0.0im
-9.283406291357839 + 0.0im	-0.00015259676012099196 + 0.0im
-9.267698328089889 + 0.0im	-0.00015340999501454387 + 0.0im
-9.25199036482194 + 0.0im	-0.00015422908812156013 + 0.0im
-9.236282401553991 + 0.0im	-0.00015505409292894545 + 0.0im
-9.220574438286043 + 0.0im	-0.00015588506351790716 + 0.0im
-9.204866475018093 + 0.0im	-0.00015672205457174958 + 0.0im
-9.189158511750145 + 0.0im	-0.00015756512138382451 + 0.0im
-9.173450548482196 + 0.0im	-0.00015841431986557194 + 0.0im
