-11.121237993707867 + 0.0im	3.3579082179648405e-6 + 0.0im
-11.105530030439919 + 0.0im	3.3666142284915616e-6 + 0.0im
-11.08982206717197 + 0.0im	3.375354258311025e-6 + 0.0im
-11.074114103904021 + 0.0im	3.384128485519766e-6 + 0.0im
-11.058406140636071 + 0.0im	3.392937089385466e-6 + 0.0im
-11.042698177368123 + 0.0im	3.4017802503561146e-6 + 0.0im
-11.026990214100174 + 0.0im	3.4106581500695967e-6 + 0.0im
-11.011282250832226 + 0.0im	3.4195709713629537e-6 + 0.0im
-10.995574287564276 + 0.0im	3.428518898281986e-6 + 0.0im
-10.979866324296326 + 0.0im	3.4375021160910833e-6 + 0.0im
-10.964158361028378 + 0.0im	3.4465208112824852e-6 + 0.0im
-10.948450397760428 + 0.0im	3.4555751715867006e-6 + 0.0im
-10.93274243449248 + 0.0im	3.4646653859819875e-6 + 0.0im
-10.91703447122453 + 0.0im	3.4737916447044704e-6 + 0.0im
-10.901326507956583 + 0.0im	3.4829541392582867e-6 + 0.0im
-10.885618544688633 + 0.0im	3.49215306242566e-6 + 0.0im
-10.869910581420685 + 0.0im	3.5013886082773895e-6 + 0.0im
-10.854202618152735 + 0.0im	3.5106609721830527e-6 + 0.0im
-10.838494654884787 + 0.0im	3.519970350821633e-6 + 0.0im
-10.822786691616837 + 0.0im	3.5293169421919784e-6 + 0.0im
-10.807078728348888 + 0.0im	3.5387009456234425e-6 + 0.0im
-10.79137076508094 + 0.0im	3.54812256178681e-6 + 0.0im
-10.77566280181299 + 0.0im	3.5575819927054064e-6 + 0.0im
-10.759954838545042 + 0.0im	3.567079441765308e-6 + 0.0im
-10.744246875277092 + 0.0im	3.5766151137274305e-6 + 0.0im
-10.728538912009144 + 0.0im	3.5861892147378306e-6 + 0.0im
-10.712830948741194 + 0.0im	3.595801952339765e-6 + 0.0im
-10.697122985473246 + 0.0im	3.6054535354847148e-6 + 0.0im
-10.681415022205297 + 0.0im	3.6151441745437095e-6 + 0.0im
-10.665707058937347 + 0.0im	3.6248740813195873e-6 + 0.0im
-10.649999095669399 + 0.0im	3.6346434690581356e-6 + 0.0im
-10.634291132401449 + 0.0im	3.6444525524602322e-6 + 0.0im
-10.618583169133501 + 0.0im	3.654301547693806e-6 + 0.0im
-10.602875205865551 + 0.0im	3.6641906724062087e-6 + 0.0im
-10.587167242597603 + 0.0im	3.6741201457354976e-6 + 0.0im
-10.571459279329654 + 0.0im	3.6840901883239863e-6 + 0.0im
-10.555751316061706 + 0.0im	3.694101022329627e-6 + 0.0im
-10.540043352793756 + 0.0im	3.7041528714394833e-6 + 0.0im
-10.524335389525806 + 0.0im	3.7142459608818026e-6 + 0.0im
-10.508627426257858 + 0.0im	3.7243805174388696e-6 + 0.0im
-10.492919462989908 + 0.0im	3.734556769460207e-6 + 0.0im
-10.47721149972196 + 0.0im	3.744774946875588e-6 + 0.0im
-10.46150353645401 + 0.0im	3.7550352812079957e-6 + 0.0im
-10.445795573186063 + 0.0im	3.765338005587316e-6 + 0.0im
-10.430087609918113 + 0.0im	3.7756833547633906e-6 + 0.0im
-10.414379646650165 + 0.0im	3.786071565119794e-6 + 0.0im
-10.398671683382215 + 0.0im	3.796502874687814e-6 + 0.0im
-10.382963720114267 + 0.0im	3.806977523159641e-6 + 0.0im
-10.367255756846317 + 0.0im	3.817495751903026e-6 + 0.0im
-10.351547793578368 + 0.0im	3.82805780397521e-6 + 0.0im
-10.33583983031042 + 0.0im	3.838663924136749e-6 + 0.0im
-10.32013186704247 + 0.0im	3.849314358866706e-6 + 0.0im
-10.304423903774522 + 0.0im	3.860009356376516e-6 + 0.0im
-10.288715940506572 + 0.0im	3.87074916662505e-6 + 0.0im
-10.273007977238624 + 0.0im	3.88153404133349e-6 + 0.0im
-10.257300013970674 + 0.0im	3.89236423399983e-6 + 0.0im
-10.241592050702726 + 0.0im	3.9032399999148414e-6 + 0.0im
-10.225884087434777 + 0.0im	3.914161596176513e-6 + 0.0im
-10.210176124166829 + 0.0im	3.925129281706109e-6 + 0.0im
-10.194468160898879 + 0.0im	3.9361433172635185e-6 + 0.0im
-10.178760197630929 + 0.0im	3.947203965462917e-6 + 0.0im
-10.163052234362981 + 0.0im	3.958311490788965e-6 + 0.0im
-10.147344271095031 + 0.0im	3.969466159612587e-6 + 0.0im
-10.131636307827083 + 0.0im	3.980668240207469e-6 + 0.0im
-10.115928344559133 + 0.0im	3.991918002766071e-6 + 0.0im
-10.100220381291185 + 0.0im	4.003215719416775e-6 + 0.0im
-10.084512418023236 + 0.0im	4.0145616642400605e-6 + 0.0im
-10.068804454755288 + 0.0im	4.0259561132857944e-6 + 0.0im
-10.053096491487338 + 0.0im	4.037399344590026e-6 + 0.0im
-10.037388528219388 + 0.0im	4.0488916381925135e-6 + 0.0im
-10.02168056495144 + 0.0im	4.060433276153803e-6 + 0.0im
