-11.042698177368123 + 0.0im	0.00017803755040993966 + 0.0im
-11.026990214100174 + 0.0im	0.00017851492480256152 + 0.0im
-11.011282250832226 + 0.0im	0.00017899423460846026 + 0.0im
-10.995574287564276 + 0.0im	0.0001794754903777671 + 0.0im
-10.979866324296326 + 0.0im	0.00017995870273313012 + 0.0im
-10.964158361028378 + 0.0im	0.00018044388237031412 + 0.0im
-10.948450397760428 + 0.0im	0.00018093104005881817 + 0.0im
-10.93274243449248 + 0.0im	0.00018142018664247904 + 0.0im
-10.91703447122453 + 0.0im	0.0001819113330401172 + 0.0im
-10.901326507956583 + 0.0im	0.00018240449024611337 + 0.0im
-10.885618544688633 + 0.0im	0.0001828996693311195 + 0.0im
-10.869910581420685 + 0.0im	0.00018339688144261945 + 0.0im
-10.854202618152735 + 0.0im	0.0001838961378056448 + 0.0im
-10.838494654884787 + 0.0im	0.00018439744972336444 + 0.0im
-10.822786691616837 + 0.0im	0.00018490082857779594 + 0.0im
-10.807078728348888 + 0.0im	0.00018540628583043928 + 0.0im
-10.79137076508094 + 0.0im	0.00018591383302296322 + 0.0im
-10.77566280181299 + 0.0im	0.00018642348177787848 + 0.0im
-10.759954838545042 + 0.0im	0.00018693524379922684 + 0.0im
-10.744246875277092 + 0.0im	0.00018744913087328222 + 0.0im
-10.728538912009144 + 0.0im	0.00018796515486922685 + 0.0im
-10.712830948741194 + 0.0im	0.00018848332773988377 + 0.0im
-10.697122985473246 + 0.0im	0.00018900366152242102 + 0.0im
-10.681415022205297 + 0.0im	0.0001895261683390577 + 0.0im
-10.665707058937347 + 0.0im	0.00019005086039783293 + 0.0im
-10.649999095669399 + 0.0im	0.00019057774999328394 + 0.0im
-10.634291132401449 + 0.0im	0.00019110684950724308 + 0.0im
-10.618583169133501 + 0.0im	0.00019163817140954462 + 0.0im
-10.602875205865551 + 0.0im	0.00019217172825883042 + 0.0im
-10.587167242597603 + 0.0im	0.00019270753270326306 + 0.0im
-10.571459279329654 + 0.0im	0.00019324559748135295 + 0.0im
-10.555751316061706 + 0.0im	0.00019378593542268834 + 0.0im
-10.540043352793756 + 0.0im	0.0001943285594487521 + 0.0im
-10.524335389525806 + 0.0im	0.00019487348257373054 + 0.0im
-10.508627426257858 + 0.0im	0.0001954207179053021 + 0.0im
-10.492919462989908 + 0.0im	0.0001959702786454431 + 0.0im
-10.47721149972196 + 0.0im	0.00019652217809127683 + 0.0im
-10.46150353645401 + 0.0im	0.0001970764296358781 + 0.0im
-10.445795573186063 + 0.0im	0.00019763304676912927 + 0.0im
-10.430087609918113 + 0.0im	0.0001981920430785545 + 0.0im
-10.414379646650165 + 0.0im	0.0001987534322501944 + 0.0im
-10.398671683382215 + 0.0im	0.00019931722806947345 + 0.0im
-10.382963720114267 + 0.0im	0.00019988344442202957 + 0.0im
-10.367255756846317 + 0.0im	0.00020045209529467083 + 0.0im
-10.351547793578368 + 0.0im	0.00020102319477620413 + 0.0im
-10.33583983031042 + 0.0im	0.00020159675705836702 + 0.0im
-10.32013186704247 + 0.0im	0.00020217279643674137 + 0.0im
-10.304423903774522 + 0.0im	0.00020275132731166438 + 0.0im
-10.288715940506572 + 0.0im	0.00020333236418916697 + 0.0im
-10.273007977238624 + 0.0im	0.00020391592168190884 + 0.0im
-10.257300013970674 + 0.0im	0.00020450201451012754 + 0.0im
-10.241592050702726 + 0.0im	0.00020509065750260545 + 0.0im
-10.225884087434777 + 0.0im	0.00020568186559763424 + 0.0im
-10.210176124166829 + 0.0im	0.00020627565384400394 + 0.0im
-10.194468160898879 + 0.0im	0.00020687203740198584 + 0.0im
-10.178760197630929 + 0.0im	0.00020747103154433285 + 0.0im
-10.163052234362981 + 0.0im	0.00020807265165730598 + 0.0im
-10.147344271095031 + 0.0im	0.0002086769132416733 + 0.0im
-10.131636307827083 + 0.0im	0.0002092838319137716 + 0.0im
-10.115928344559133 + 0.0im	0.00020989342340652138 + 0.0im
-10.100220381291185 + 0.0im	0.00021050570357051784 + 0.0im
-10.084512418023236 + 0.0im	0.00021112068837506886 + 0.0im
-10.068804454755288 + 0.0im	0.00021173839390926978 + 0.0im
-10.053096491487338 + 0.0im	0.00021235883638315263 + 0.0im
-10.037388528219388 + 0.0im	0.000212982032128688 + 0.0im
-10.02168056495144 + 0.0im	0.0002136079976009952 + 0.0im
-10.00597260168349 + 0.0im	0.0002142367493794019 + 0.0im
-9.990264638415542 + 0.0im	0.00021486830416862668 + 0.0im
-9.974556675147593 + 0.0im	0.00021550267879989632 + 0.0im
-9.958848711879645 + 0.0im	0.00021613989023212897 + 0.0im
-9.943140748611695 + 0.0im	0.00021677995555309832 + 0.0im
-9.927432785343747 + 0.0im	0.00021742289198063838 + 0.0im
-9.911724822075797 + 0.0im	0.00021806871686381907 + 0.0im
-9.896016858807847 + 0.0im	0.0002187174476841641 + 0.0im
-9.8803088955399 + 0.0im	0.0002193691020569224 + 0.0im
-9.86460093227195 + 0.0im	0.0002200236977322597 + 0.0im
-9.848892969004002 + 0.0im	0.00022068125259650081 + 0.0im
-9.833185005736052 + 0.0im	0.00022134178467347223 + 0.0im
-9.817477042468104 + 0.0im	0.000222005312125703 + 0.0im
-9.801769079200154 + 0.0im	0.00022267185325574963 + 0.0im
-9.786061115932206 + 0.0im	0.00022334142650755286 + 0.0im
-9.770353152664256 + 0.0im	0.0002240140504676843 + 0.0im
-9.754645189396308 + 0.0im	0.00022468974386674064 + 0.0im
-9.738937226128359 + 0.0im	0.00022536852558067592 + 0.0im
-9.723229262860409 + 0.0im	0.0002260504146321792 + 0.0im
-9.707521299592461 + 0.0im	0.00022673543019206482 + 0.0im
-9.691813336324511 + 0.0im	0.00022742359158065312 + 0.0im
-9.676105373056563 + 0.0im	0.00022811491826920283 + 0.0im
-9.660397409788613 + 0.0im	0.00022880942988133613 + 0.0im
-9.644689446520665 + 0.0im	0.00022950714619448 + 0.0im
-9.628981483252716 + 0.0im	0.00023020808714136842 + 0.0im
-9.613273519984768 + 0.0im	0.00023091227281146572 + 0.0im
-9.597565556716818 + 0.0im	0.00023161972345249547 + 0.0im
-9.58185759344887 + 0.0im	0.0002323304594719726 + 0.0im
-9.56614963018092 + 0.0im	0.00023304450143869174 + 0.0im
-9.55044166691297 + 0.0im	0.00023376187008429064 + 0.0im
