-11.042698177368123 + 0.0im	0.0001687760890886053 + 0.0im
-11.026990214100174 + 0.0im	0.0001692144034411337 + 0.0im
-11.011282250832226 + 0.0im	0.0001696544322864897 + 0.0im
-10.995574287564276 + 0.0im	0.00017009618460355735 + 0.0im
-10.979866324296326 + 0.0im	0.00017053966943024105 + 0.0im
-10.964158361028378 + 0.0im	0.0001709848958639399 + 0.0im
-10.948450397760428 + 0.0im	0.00017143187306201444 + 0.0im
-10.93274243449248 + 0.0im	0.0001718806102422655 + 0.0im
-10.91703447122453 + 0.0im	0.00017233111668341352 + 0.0im
-10.901326507956583 + 0.0im	0.0001727834017255849 + 0.0im
-10.885618544688633 + 0.0im	0.0001732374747708007 + 0.0im
-10.869910581420685 + 0.0im	0.00017369334528347162 + 0.0im
-10.854202618152735 + 0.0im	0.0001741510227908972 + 0.0im
-10.838494654884787 + 0.0im	0.00017461051688376619 + 0.0im
-10.822786691616837 + 0.0im	0.00017507183721667221 + 0.0im
-10.807078728348888 + 0.0im	0.00017553499350861783 + 0.0im
-10.79137076508094 + 0.0im	0.00017599999554353916 + 0.0im
-10.77566280181299 + 0.0im	0.00017646685317082654 + 0.0im
-10.759954838545042 + 0.0im	0.00017693557630584923 + 0.0im
-10.744246875277092 + 0.0im	0.00017740617493049374 + 0.0im
-10.728538912009144 + 0.0im	0.00017787865909369896 + 0.0im
-10.712830948741194 + 0.0im	0.0001783530389119966 + 0.0im
-10.697122985473246 + 0.0im	0.00017882932457006292 + 0.0im
-10.681415022205297 + 0.0im	0.00017930752632126968 + 0.0im
-10.665707058937347 + 0.0im	0.00017978765448824373 + 0.0im
-10.649999095669399 + 0.0im	0.00018026971946343055 + 0.0im
-10.634291132401449 + 0.0im	0.00018075373170966326 + 0.0im
-10.618583169133501 + 0.0im	0.0001812397017607373 + 0.0im
-10.602875205865551 + 0.0im	0.00018172764022198902 + 0.0im
-10.587167242597603 + 0.0im	0.00018221755777088388 + 0.0im
-10.571459279329654 + 0.0im	0.00018270946515760726 + 0.0im
-10.555751316061706 + 0.0im	0.0001832033732056596 + 0.0im
-10.540043352793756 + 0.0im	0.00018369929281246072 + 0.0im
-10.524335389525806 + 0.0im	0.00018419723494995745 + 0.0im
-10.508627426257858 + 0.0im	0.00018469721066523834 + 0.0im
-10.492919462989908 + 0.0im	0.0001851992310811552 + 0.0im
-10.47721149972196 + 0.0im	0.00018570330739694731 + 0.0im
-10.46150353645401 + 0.0im	0.00018620945088887182 + 0.0im
-10.445795573186063 + 0.0im	0.00018671767291085126 + 0.0im
-10.430087609918113 + 0.0im	0.000187227984895106 + 0.0im
-10.414379646650165 + 0.0im	0.00018774039835281613 + 0.0im
-10.398671683382215 + 0.0im	0.00018825492487477144 + 0.0im
-10.382963720114267 + 0.0im	0.00018877157613203622 + 0.0im
-10.367255756846317 + 0.0im	0.00018929036387662352 + 0.0im
-10.351547793578368 + 0.0im	0.00018981129994217016 + 0.0im
-10.33583983031042 + 0.0im	0.00019033439624461588 + 0.0im
-10.32013186704247 + 0.0im	0.00019085966478289985 + 0.0im
-10.304423903774522 + 0.0im	0.00019138711763965266 + 0.0im
-10.288715940506572 + 0.0im	0.00019191676698190435 + 0.0im
-10.273007977238624 + 0.0im	0.00019244862506179086 + 0.0im
-10.257300013970674 + 0.0im	0.00019298270421727267 + 0.0im
-10.241592050702726 + 0.0im	0.00019351901687286496 + 0.0im
-10.225884087434777 + 0.0im	0.00019405757554036187 + 0.0im
-10.210176124166829 + 0.0im	0.0001945983928195778 + 0.0im
-10.194468160898879 + 0.0im	0.00019514148139909953 + 0.0im
-10.178760197630929 + 0.0im	0.00019568685405703197 + 0.0im
-10.163052234362981 + 0.0im	0.00019623452366176737 + 0.0im
-10.147344271095031 + 0.0im	0.0001967845031727469 + 0.0im
-10.131636307827083 + 0.0im	0.0001973368056412443 + 0.0im
-10.115928344559133 + 0.0im	0.000197891444211144 + 0.0im
-10.100220381291185 + 0.0im	0.00019844843211974227 + 0.0im
-10.084512418023236 + 0.0im	0.00019900778269853694 + 0.0im
-10.068804454755288 + 0.0im	0.00019956950937404446 + 0.0im
-10.053096491487338 + 0.0im	0.0002001336256686092 + 0.0im
-10.037388528219388 + 0.0im	0.0002007001452012371 + 0.0im
-10.02168056495144 + 0.0im	0.0002012690816884185 + 0.0im
-10.00597260168349 + 0.0im	0.0002018404489449787 + 0.0im
-9.990264638415542 + 0.0im	0.0002024142608849207 + 0.0im
-9.974556675147593 + 0.0im	0.0002029905315222908 + 0.0im
-9.958848711879645 + 0.0im	0.0002035692749720379 + 0.0im
-9.943140748611695 + 0.0im	0.0002041505054508994 + 0.0im
-9.927432785343747 + 0.0im	0.00020473423727827394 + 0.0im
-9.911724822075797 + 0.0im	0.00020532048487712792 + 0.0im
-9.896016858807847 + 0.0im	0.0002059092627748896 + 0.0im
-9.8803088955399 + 0.0im	0.0002065005856043681 + 0.0im
-9.86460093227195 + 0.0im	0.0002070944681046716 + 0.0im
-9.848892969004002 + 0.0im	0.00020769092512213505 + 0.0im
-9.833185005736052 + 0.0im	0.00020828997161127094 + 0.0im
-9.817477042468104 + 0.0im	0.00020889162263570978 + 0.0im
-9.801769079200154 + 0.0im	0.00020949589336916613 + 0.0im
-9.786061115932206 + 0.0im	0.00021010279909640758 + 0.0im
-9.770353152664256 + 0.0im	0.00021071235521423322 + 0.0im
-9.754645189396308 + 0.0im	0.00021132457723246475 + 0.0im
-9.738937226128359 + 0.0im	0.00021193948077495128 + 0.0im
-9.723229262860409 + 0.0im	0.00021255708158057207 + 0.0im
-9.707521299592461 + 0.0im	0.00021317739550426434 + 0.0im
-9.691813336324511 + 0.0im	0.00021380043851805723 + 0.0im
-9.676105373056563 + 0.0im	0.0002144262267121037 + 0.0im
-9.660397409788613 + 0.0im	0.00021505477629574942 + 0.0im
-9.644689446520665 + 0.0im	0.00021568610359858496 + 0.0im
-9.628981483252716 + 0.0im	0.0002163202250715301 + 0.0im
-9.613273519984768 + 0.0im	0.00021695715728791608 + 0.0im
-9.597565556716818 + 0.0im	0.00021759691694458674 + 0.0im
-9.58185759344887 + 0.0im	0.0002182395208630085 + 0.0im
-9.56614963018092 + 0.0im	0.0002188849859903896 + 0.0im
-9.55044166691297 + 0.0im	0.0002195333294008186 + 0.0im
-9.534733703645022 + 0.0im	0.0002201845682964087 + 0.0im
-9.519025740377073 + 0.0im	0.00022083872000845095 + 0.0im
-9.503317777109125 + 0.0im	0.00022149580199859361 + 0.0im
-9.487609813841175 + 0.0im	0.00022215583186001347 + 0.0im
-9.471901850573227 + 0.0im	0.00022281882731862434 + 0.0im
-9.456193887305277 + 0.0im	0.00022348480623427124 + 0.0im
-9.44048592403733 + 0.0im	0.00022415378660196173 + 0.0im
-9.42477796076938 + 0.0im	0.0002248257865530936 + 0.0im
-9.40906999750143 + 0.0im	0.00022550082435670633 + 0.0im
-9.393362034233482 + 0.0im	0.00022617891842073917 + 0.0im
-9.377654070965532 + 0.0im	0.00022686008729330679 + 0.0im
-9.361946107697584 + 0.0im	0.00022754434966398184 + 0.0im
-9.346238144429634 + 0.0im	0.0002282317243651061 + 0.0im
-9.330530181161686 + 0.0im	0.00022892223037309538 + 0.0im
-9.314822217893736 + 0.0im	0.00022961588680977973 + 0.0im
-9.299114254625788 + 0.0im	0.00023031271294373837 + 0.0im
-9.283406291357839 + 0.0im	0.00023101272819166715 + 0.0im
-9.267698328089889 + 0.0im	0.00023171595211974338 + 0.0im
-9.25199036482194 + 0.0im	0.00023242240444502378 + 0.0im
-9.236282401553991 + 0.0im	0.000233132105036841 + 0.0im
-9.220574438286043 + 0.0im	0.00023384507391822305 + 0.0im
-9.204866475018093 + 0.0im	0.0002345613312673354 + 0.0im
-9.189158511750145 + 0.0im	0.0002352808974189183 + 0.0im
-9.173450548482196 + 0.0im	0.00023600379286576594 + 0.0im
