-11.152653920243765 + 0.0im	-4.119189697345599e-5 + 0.0im
-11.136945956975817 + 0.0im	-4.137194403722241e-5 + 0.0im
-11.121237993707867 + 0.0im	-4.155305032773409e-5 + 0.0im
-11.105530030439919 + 0.0im	-4.173522370839087e-5 + 0.0im
-11.08982206717197 + 0.0im	-4.191847211330986e-5 + 0.0im
-11.074114103904021 + 0.0im	-4.2102803548074906e-5 + 0.0im
-11.058406140636071 + 0.0im	-4.228822609049514e-5 + 0.0im
-11.042698177368123 + 0.0im	-4.247474789137165e-5 + 0.0im
-11.026990214100174 + 0.0im	-4.2662377175274844e-5 + 0.0im
-11.011282250832226 + 0.0im	-4.285112224133132e-5 + 0.0im
-10.995574287564276 + 0.0im	-4.3040991464018945e-5 + 0.0im
-10.979866324296326 + 0.0im	-4.323199329397363e-5 + 0.0im
-10.964158361028378 + 0.0im	-4.3424136258804685e-5 + 0.0im
-10.948450397760428 + 0.0im	-4.361742896392065e-5 + 0.0im
-10.93274243449248 + 0.0im	-4.38118800933662e-5 + 0.0im
-10.91703447122453 + 0.0im	-4.400749841066756e-5 + 0.0im
-10.901326507956583 + 0.0im	-4.4204292759690716e-5 + 0.0im
-10.885618544688633 + 0.0im	-4.440227206550846e-5 + 0.0im
-10.869910581420685 + 0.0im	-4.460144533527876e-5 + 0.0im
-10.854202618152735 + 0.0im	-4.480182165913489e-5 + 0.0im
-10.838494654884787 + 0.0im	-4.500341021108489e-5 + 0.0im
-10.822786691616837 + 0.0im	-4.520622024992512e-5 + 0.0im
-10.807078728348888 + 0.0im	-4.541026112016245e-5 + 0.0im
-10.79137076508094 + 0.0im	-4.561554225294938e-5 + 0.0im
-10.77566280181299 + 0.0im	-4.582207316703073e-5 + 0.0im
-10.759954838545042 + 0.0im	-4.6029863469702914e-5 + 0.0im
-10.744246875277092 + 0.0im	-4.62389228577838e-5 + 0.0im
-10.728538912009144 + 0.0im	-4.644926111859628e-5 + 0.0im
-10.712830948741194 + 0.0im	-4.666088813096379e-5 + 0.0im
-10.697122985473246 + 0.0im	-4.68738138662186e-5 + 0.0im
-10.681415022205297 + 0.0im	-4.708804838922197e-5 + 0.0im
-10.665707058937347 + 0.0im	-4.7303601859399616e-5 + 0.0im
-10.649999095669399 + 0.0im	-4.7520484531787094e-5 + 0.0im
-10.634291132401449 + 0.0im	-4.7738706758091995e-5 + 0.0im
-10.618583169133501 + 0.0im	-4.795827898776722e-5 + 0.0im
-10.602875205865551 + 0.0im	-4.817921176909915e-5 + 0.0im
-10.587167242597603 + 0.0im	-4.8401515750309735e-5 + 0.0im
-10.571459279329654 + 0.0im	-4.8625201680671664e-5 + 0.0im
-10.555751316061706 + 0.0im	-4.8850280411641215e-5 + 0.0im
-10.540043352793756 + 0.0im	-4.907676289799999e-5 + 0.0im
-10.524335389525806 + 0.0im	-4.930466019901778e-5 + 0.0im
-10.508627426257858 + 0.0im	-4.953398347962564e-5 + 0.0im
-10.492919462989908 + 0.0im	-4.9764744011607924e-5 + 0.0im
-10.47721149972196 + 0.0im	-4.999695317480555e-5 + 0.0im
-10.46150353645401 + 0.0im	-5.023062245834032e-5 + 0.0im
-10.445795573186063 + 0.0im	-5.046576346184925e-5 + 0.0im
-10.430087609918113 + 0.0im	-5.070238789674028e-5 + 0.0im
-10.414379646650165 + 0.0im	-5.094050758746235e-5 + 0.0im
-10.398671683382215 + 0.0im	-5.118013447278984e-5 + 0.0im
-10.382963720114267 + 0.0im	-5.142128060712869e-5 + 0.0im
-10.367255756846317 + 0.0im	-5.16639581618354e-5 + 0.0im
-10.351547793578368 + 0.0im	-5.1908179426556605e-5 + 0.0im
-10.33583983031042 + 0.0im	-5.215395681058268e-5 + 0.0im
-10.32013186704247 + 0.0im	-5.240130284422453e-5 + 0.0im
-10.304423903774522 + 0.0im	-5.265023018020282e-5 + 0.0im
-10.288715940506572 + 0.0im	-5.290075159505999e-5 + 0.0im
-10.273007977238624 + 0.0im	-5.315287999059027e-5 + 0.0im
-10.257300013970674 + 0.0im	-5.340662839528561e-5 + 0.0im
-10.241592050702726 + 0.0im	-5.366200996580505e-5 + 0.0im
-10.225884087434777 + 0.0im	-5.391903798846301e-5 + 0.0im
-10.210176124166829 + 0.0im	-5.417772588073377e-5 + 0.0im
-10.194468160898879 + 0.0im	-5.443808719278183e-5 + 0.0im
-10.178760197630929 + 0.0im	-5.4700135609008684e-5 + 0.0im
-10.163052234362981 + 0.0im	-5.496388494962119e-5 + 0.0im
-10.147344271095031 + 0.0im	-5.5229349172223534e-5 + 0.0im
-10.131636307827083 + 0.0im	-5.549654237342738e-5 + 0.0im
-10.115928344559133 + 0.0im	-5.576547879048605e-5 + 0.0im
-10.100220381291185 + 0.0im	-5.6036172802949735e-5 + 0.0im
-10.084512418023236 + 0.0im	-5.630863893434501e-5 + 0.0im
-10.068804454755288 + 0.0im	-5.658289185387469e-5 + 0.0im
-10.053096491487338 + 0.0im	-5.685894637814244e-5 + 0.0im
-10.037388528219388 + 0.0im	-5.713681747290133e-5 + 0.0im
-10.02168056495144 + 0.0im	-5.741652025482542e-5 + 0.0im
-10.00597260168349 + 0.0im	-5.76980699933055e-5 + 0.0im
-9.990264638415542 + 0.0im	-5.798148211227124e-5 + 0.0im
-9.974556675147593 + 0.0im	-5.8266772192036524e-5 + 0.0im
-9.958848711879645 + 0.0im	-5.855395597117031e-5 + 0.0im
-9.943140748611695 + 0.0im	-5.884304934839661e-5 + 0.0im
-9.927432785343747 + 0.0im	-5.9134068384514414e-5 + 0.0im
-9.911724822075797 + 0.0im	-5.942702930435275e-5 + 0.0im
-9.896016858807847 + 0.0im	-5.972194849874401e-5 + 0.0im
-9.8803088955399 + 0.0im	-6.001884252653268e-5 + 0.0im
-9.86460093227195 + 0.0im	-6.031772811660611e-5 + 0.0im
-9.848892969004002 + 0.0im	-6.0618622169957414e-5 + 0.0im
-9.833185005736052 + 0.0im	-6.092154176177645e-5 + 0.0im
-9.817477042468104 + 0.0im	-6.122650414356819e-5 + 0.0im
-9.801769079200154 + 0.0im	-6.153352674530386e-5 + 0.0im
-9.786061115932206 + 0.0im	-6.18426271776014e-5 + 0.0im
-9.770353152664256 + 0.0im	-6.215382323393531e-5 + 0.0im
-9.754645189396308 + 0.0im	-6.246713289287881e-5 + 0.0im
-9.738937226128359 + 0.0im	-6.278257432037944e-5 + 0.0im
-9.723229262860409 + 0.0im	-6.31001658720636e-5 + 0.0im
-9.707521299592461 + 0.0im	-6.341992609557723e-5 + 0.0im
-9.691813336324511 + 0.0im	-6.374187373295738e-5 + 0.0im
-9.676105373056563 + 0.0im	-6.406602772303923e-5 + 0.0im
-9.660397409788613 + 0.0im	-6.4392407203897e-5 + 0.0im
-9.644689446520665 + 0.0im	-6.472103151531939e-5 + 0.0im
-9.628981483252716 + 0.0im	-6.505192020132312e-5 + 0.0im
-9.613273519984768 + 0.0im	-6.538509301269733e-5 + 0.0im
-9.597565556716818 + 0.0im	-6.572056990959176e-5 + 0.0im
-9.58185759344887 + 0.0im	-6.605837106413623e-5 + 0.0im
-9.56614963018092 + 0.0im	-6.639851686310244e-5 + 0.0im
-9.55044166691297 + 0.0im	-6.67410279106008e-5 + 0.0im
-9.534733703645022 + 0.0im	-6.708592503081902e-5 + 0.0im
-9.519025740377073 + 0.0im	-6.743322927080127e-5 + 0.0im
-9.503317777109125 + 0.0im	-6.778296190326403e-5 + 0.0im
-9.487609813841175 + 0.0im	-6.813514442945731e-5 + 0.0im
-9.471901850573227 + 0.0im	-6.848979858206637e-5 + 0.0im
-9.456193887305277 + 0.0im	-6.884694632815607e-5 + 0.0im
-9.44048592403733 + 0.0im	-6.9206609872156e-5 + 0.0im
-9.42477796076938 + 0.0im	-6.956881165889611e-5 + 0.0im
-9.40906999750143 + 0.0im	-6.993357437667983e-5 + 0.0im
-9.393362034233482 + 0.0im	-7.030092096040882e-5 + 0.0im
-9.377654070965532 + 0.0im	-7.067087459474955e-5 + 0.0im
-9.361946107697584 + 0.0im	-7.104345871734885e-5 + 0.0im
-9.346238144429634 + 0.0im	-7.141869702209952e-5 + 0.0im
-9.330530181161686 + 0.0im	-7.17966134624499e-5 + 0.0im
-9.314822217893736 + 0.0im	-7.21772322547682e-5 + 0.0im
-9.299114254625788 + 0.0im	-7.256057788175308e-5 + 0.0im
-9.283406291357839 + 0.0im	-7.294667509589809e-5 + 0.0im
-9.267698328089889 + 0.0im	-7.33355489230076e-5 + 0.0im
-9.25199036482194 + 0.0im	-7.372722466576464e-5 + 0.0im
-9.236282401553991 + 0.0im	-7.412172790735499e-5 + 0.0im
-9.220574438286043 + 0.0im	-7.451908451514425e-5 + 0.0im
-9.204866475018093 + 0.0im	-7.491932064441187e-5 + 0.0im
-9.189158511750145 + 0.0im	-7.53224627421401e-5 + 0.0im
