0.0	-1.0
0.04	-1.0004000000000006
0.08	-1.0015999999999992
0.12	-1.0035999999999994
0.16	-1.006400000000005
0.2	-1.0100000000000022
0.24	-1.014399999999999
0.28	-1.019599999999995
0.32	-1.0255999999999965
0.36	-1.0323999999999978
0.4	-1.039999999999995
0.44	-1.048400000000008
0.48	-1.057600000000005
0.52	-1.06760000000001
0.56	-1.0784000000000085
0.6	-1.090000000000029
0.64	-1.1024000000000775
0.68	-1.1156000000001705
0.72	-1.1296000000003787
0.76	-1.1444000000008472
0.8	-1.1600000000018909
0.84	-1.1764000000041932
0.88	-1.1936000000093479
0.92	-1.2116000000208047
0.96	-1.2304000000463156
1.0	-1.2500000001030522
1.04	-1.270400000229352
1.08	-1.2916000005104296
1.12	-1.3136000011359634
1.16	-1.3364000025281193
1.2	-1.3600000056263888
1.24	-1.3844000125216347
1.28	-1.4096000278670546
1.32	-1.4356000620184162
1.36	-1.4624001380231542
1.4	-1.4900003071783148
1.44	-1.518400683676834
1.48	-1.547601521834723
1.52	-1.577603388611837
1.56	-1.608407550967705
1.6	-1.7603780683802512
1.64	-1.7962566693840487
1.68	-1.832347525754129
1.72	-1.8686342019517952
1.76	-1.9051019631651316
1.8	-1.9417375549441886
1.84	-1.9785290171229108
1.88	-2.0154655258089362
1.92	-2.052537258507597
1.96	-2.0897352784363763
2.0	-2.127051434850283
