0.0	1.1102230246251565e-16
0.04	-0.020004002402002286
0.08	-0.040032077057008175
0.12	-0.0601085876129579
0.16	-0.08025849089084924
0.2	-0.10050766018455781
0.24	-0.12088324282557572
0.28	-0.14141406741597629
0.32	-0.16213112020788323
0.36	-0.18306811618616137
0.4	-0.2042621994464262
0.44	-0.22575482101132427
0.48	-0.24759286289759963
0.52	-0.26983010951999975
0.56	-0.29252921945683763
0.6	-0.3157644375846298
0.64	-0.3396254416045621
0.68	-0.3642230130917583
0.72	-0.38969786507741455
0.76	-0.41623558034893904
0.8	-0.4440953891257249
0.84	-0.4736760671320588
0.88	-0.5056929172313789
0.92	-0.5416654995740533
0.96	-0.5847138832451477
1.0	-0.6364560586244528
1.04	-0.68589804697889
1.08	-0.7231288869502177
1.12	-0.7511178005028547
1.16	-0.7736370247256841
1.2	-0.7925548269892666
1.24	-0.8088223029826864
1.28	-0.8230128616825954
1.32	-0.8355189005965338
1.36	-0.8466290739261728
1.4	-0.856564757657535
1.44	-0.8655003916195949
1.48	-0.8735761739282382
1.52	-0.8809065474464495
1.56	-0.8875861320086407
1.6	-0.8936940060778245
1.64	-0.8992968751621229
1.68	-0.9044514648988826
1.72	-0.9092063600254929
1.76	-0.9136034386793168
1.8	-0.917679005633163
1.84	-0.9214646979036352
1.88	-0.9249882157982316
1.92	-0.9282739184023081
1.96	-0.9313433126048338
2.0	-0.9342154576676944
